Inference,Device,Model
"5.08145904541
",Mobile,Bert
"4.58471798897
",Mobile,Bert
"5.3345489502
",Mobile,Bert
"4.68283605576
",Mobile,Bert
"5.40480804443
",Mobile,Bert
"4.48994588852
",Mobile,Bert
"5.11573004723
",Mobile,Bert
"5.06711196899
",Mobile,Bert
"5.39204287529
",Mobile,Bert
"5.1507370472
",Mobile,Bert
"5.26813101768
",Mobile,Bert
"6.61604785919
",Mobile,Bert
"5.21736598015
",Mobile,Bert
"4.96525597572
",Mobile,Bert
"5.00852608681
",Mobile,Bert
"5.10623812675
",Mobile,Bert
"5.10078310966
",Mobile,Bert
"4.97075915337
",Mobile,Bert
"5.09651207924
",Mobile,Bert
"5.19655513763
",Mobile,Bert
"7.10578298569
",Mobile,Bert
"5.38048505783
",Mobile,Bert
"5.11461687088
",Mobile,Bert
"6.01150012016
",Mobile,Bert
"7.19076085091
",Mobile,Bert
"5.89029884338
",Mobile,Bert
"5.41027998924
",Mobile,Bert
"5.01309204102
",Mobile,Bert
"4.97215914726
",Mobile,Bert
"5.11117982864
",Mobile,Bert
"5.19540810585
",Mobile,Bert
"5.2971200943
",Mobile,Bert
"4.90862607956
",Mobile,Bert
"4.78582906723
",Mobile,Bert
"4.89589095116
",Mobile,Bert
"4.67983102798
",Mobile,Bert
"5.1138780117
",Mobile,Bert
"4.88750290871
",Mobile,Bert
"5.21717810631
",Mobile,Bert
"5.05077505112
",Mobile,Bert
"5.02102684975
",Mobile,Bert
"5.11580491066
",Mobile,Bert
"5.33238911629
",Mobile,Bert
"5.08335113525
",Mobile,Bert
"5.50063800812
",Mobile,Bert
"5.09780097008
",Mobile,Bert
"5.75342988968
",Mobile,Bert
"4.73620319366
",Mobile,Bert
"5.68318796158
",Mobile,Bert
"4.91888093948
",Mobile,Bert
"4.99167299271
",Mobile,Bert
"5.0081679821
",Mobile,Bert
"4.48628091812
",Mobile,Bert
"5.30477499962
",Mobile,Bert
"5.48631095886
",Mobile,Bert
"4.71343708038
",Mobile,Bert
"5.13775706291
",Mobile,Bert
"4.15990805626
",Mobile,Bert
"5.28908920288
",Mobile,Bert
"5.3339240551
",Mobile,Bert
"5.16741418839
",Mobile,Bert
"5.29628014565
",Mobile,Bert
"4.88915896416
",Mobile,Bert
"4.89611411095
",Mobile,Bert
"5.3532910347
",Mobile,Bert
"4.44000196457
",Mobile,Bert
